report_date,product_code,product_name,product_series,product_type,channel,risk_level,open_type,holding_period_days,inception_date,running_days,product_scale_bn,scale_wow_bn,scale_mom_bn,latest_nav,daily_nav_change_bp,since_inception_annual_return,return_1m,return_3m,return_6m,return_1y,return_ytd,max_drawdown,volatility,sharpe,benchmark_lower,benchmark_upper,benchmark_status,evidence_id
2025-01-31,WP0012,悦享固收多资产样例012,封闭精选,多资产,直销,R3,1年封闭,365,2023-07-07,574,0.8988,0.0,0.0,1.078102,-22.07,0.07975,-0.026309,0.008169,0.090489,0.073396,-0.010394,-0.051445,0.065506,0.912144,0.0368,0.0672,above_upper,ev_snapshot_WP0012_20250131
2025-01-31,WP0013,悦享固收混合类样例013,持有期增强,混合类,百信,R4,日开,1,2022-10-28,826,6.6202,0.0,0.0,0.998261,2.4,-0.004567,-0.017924,-0.034032,0.04369,-0.004217,-0.038748,-0.069633,0.101667,-0.241643,0.0477,0.0623,below_lower,ev_snapshot_WP0013_20250131
2025-01-31,WP0014,持有期增强QDII样例014,封闭精选,QDII,交行,R4,7天,7,2024-04-12,294,12.2003,0.0,0.0,1.011314,16.07,0.01048,-0.008418,0.112817,0.040622,0.00967,0.04168,-0.180255,0.153413,-0.062053,0.0453,0.0707,below_lower,ev_snapshot_WP0014_20250131
2025-01-31,WP0015,封闭精选现金管理样例015,多元配置,现金管理,厦门银行,R1,14天,14,2023-01-13,749,32.3022,0.0,0.0,1.013047,-1.32,0.009828,5.8e-05,0.002751,0.002156,0.009068,0.001425,-0.001998,0.004172,-2.438355,0.0098,0.0262,in_range,ev_snapshot_WP0015_20250131
2025-01-31,WP0016,稳健添利封闭式样例016,多元配置,封闭式,邮惠万家,R3,21天,21,2022-07-08,938,9.5305,0.0,0.0,1.068526,-5.11,0.080198,0.01793,0.012887,0.018566,0.073807,0.018626,-0.046352,0.063146,0.953314,0.0334,0.0466,above_upper,ev_snapshot_WP0016_20250131
2025-01-31,WP0017,悦享固收最短持有期型样例017,悦享固收,最短持有期型,个金,R3,30天,30,2023-03-10,693,6.259,0.0,0.0,0.999015,-2.38,-0.001579,-0.005888,0.000741,0.003125,-0.001457,0.004059,-0.0315,0.028942,-0.745588,0.022,0.05,below_lower,ev_snapshot_WP0017_20250131
2025-01-31,WP0018,多元配置日开型样例018,封闭精选,日开型,私银,R2,60天,60,2022-02-11,1085,5.4888,0.0,0.0,1.015184,2.94,0.020666,0.00349,0.007283,0.010379,0.019062,0.002857,-0.001213,0.005338,0.124811,0.0045,0.0395,in_range,ev_snapshot_WP0018_20250131
2025-01-31,WP0019,封闭精选纯固收样例019,悦享固收,纯固收,对公,R2,90天,90,2024-03-22,315,31.5687,0.0,0.0,1.039703,-2.6,0.040726,0.006204,0.010119,0.021152,0.037536,0.007908,-0.004192,0.01726,1.200856,0.014,0.048,in_range,ev_snapshot_WP0019_20250131
2025-01-31,WP0020,现金优选固收增强样例020,全球配置,固收增强,直销,R2,120天,120,2023-03-03,700,19.066,0.0,0.0,1.000045,-17.13,0.000739,-0.018112,-0.010439,-0.01074,0.000682,-0.031588,-0.031588,0.054579,-0.352893,0.0323,0.0517,below_lower,ev_snapshot_WP0020_20250131
2025-01-31,WP0021,封闭精选多资产样例021,稳健添利,多资产,百信,R3,180天,180,2022-08-12,903,11.802,0.0,0.0,1.038316,-27.94,0.04387,-0.000982,-0.000331,0.019388,0.040428,0.004806,-0.040113,0.077059,0.309763,0.0426,0.0614,in_range,ev_snapshot_WP0021_20250131
2025-01-31,WP0022,封闭精选混合类样例022,稳健添利,混合类,交行,R3,270天,270,2023-11-17,441,1.5637,0.0,0.0,0.961597,1.78,-0.042523,-0.008247,0.020045,-0.026069,-0.039318,0.001751,-0.093058,0.087483,-0.714696,0.0463,0.0637,below_lower,ev_snapshot_WP0022_20250131
2025-01-31,WP0023,多元配置QDII样例023,全球配置,QDII,厦门银行,R3,360天,360,2024-02-09,357,7.3519,0.0,0.0,0.792611,2.28,-0.224338,-0.074258,-0.095872,-0.154398,-0.209032,-0.10918,-0.210356,0.122175,-1.999909,0.0457,0.0703,below_lower,ev_snapshot_WP0023_20250131
2025-01-31,WP0024,持有期增强现金管理样例024,多元配置,现金管理,邮惠万家,R1,1年封闭,365,2022-09-02,882,18.4753,0.0,0.0,1.014206,1.76,0.01925,0.001413,0.005123,0.009617,0.017756,0.002658,-0.001603,0.005137,-0.14605,0.0106,0.0254,in_range,ev_snapshot_WP0024_20250131
2025-01-31,WP0025,全球配置封闭式样例025,现金优选,封闭式,个金,R2,日开,1,2022-11-18,805,11.2562,0.0,0.0,0.963835,-1.72,-0.04252,0.007698,-0.017621,-0.011821,-0.039314,-0.035754,-0.049802,0.051902,-1.204561,0.0266,0.0534,below_lower,ev_snapshot_WP0025_20250131
2025-01-31,WP0026,现金优选最短持有期型样例026,多元配置,最短持有期型,私银,R3,7天,7,2023-05-05,637,14.9795,0.0,0.0,1.024036,-3.99,0.021302,0.01111,0.013908,0.020365,0.019647,0.00704,-0.01636,0.026775,0.048629,0.026,0.046,below_lower,ev_snapshot_WP0026_20250131
2025-01-31,WP0027,多元配置日开型样例027,稳健添利,日开型,对公,R1,14天,14,2023-04-21,651,1.8453,0.0,0.0,1.013678,-0.27,0.018919,0.000959,0.000825,0.009062,0.017451,-0.001523,-0.003038,0.007381,-0.146503,0.0094,0.0346,in_range,ev_snapshot_WP0027_20250131
2025-01-31,WP0028,悦享固收纯固收样例028,封闭精选,纯固收,直销,R2,21天,21,2022-08-12,903,3.7458,0.0,0.0,1.039401,7.73,0.040957,0.00047,0.015919,0.039685,0.037748,0.004328,-0.011209,0.020678,1.013488,0.0181,0.0439,in_range,ev_snapshot_WP0028_20250131
2025-01-31,WP0029,多元配置固收增强样例029,悦享固收,固收增强,百信,R3,30天,30,2023-05-19,623,6.6602,0.0,0.0,1.044841,-11.37,0.047222,-0.008703,0.043048,0.04704,0.043512,0.001201,-0.017865,0.037641,0.723189,0.0314,0.0526,in_range,ev_snapshot_WP0029_20250131
2025-01-31,WP0030,持有期增强多资产样例030,持有期增强,多资产,交行,R3,60天,60,2024-03-01,336,12.1027,0.0,0.0,1.022235,13.57,0.022393,0.000632,-0.016836,-0.019947,0.020653,-0.015306,-0.078742,0.093377,0.025629,0.044,0.06,below_lower,ev_snapshot_WP0030_20250131
2025-01-31,WP0031,多元配置混合类样例031,悦享固收,混合类,厦门银行,R3,90天,90,2022-01-14,1113,6.9199,0.0,0.0,0.854671,6.11,-0.153562,0.002792,-5.1e-05,-0.035702,-0.142637,-0.019534,-0.149626,0.095169,-1.823717,0.0452,0.0648,below_lower,ev_snapshot_WP0031_20250131
2025-01-31,WP0032,封闭精选QDII样例032,多元配置,QDII,邮惠万家,R4,120天,120,2023-10-20,469,12.2943,0.0,0.0,1.003479,-87.35,0.0062,-0.015455,-0.106336,-0.108603,0.005722,-0.06958,-0.108603,0.15274,-0.090349,0.051,0.065,below_lower,ev_snapshot_WP0032_20250131
2025-01-31,WP0033,持有期增强现金管理样例033,封闭精选,现金管理,个金,R1,180天,180,2022-07-08,938,21.3773,0.0,0.0,1.026617,0.74,0.023682,0.000899,0.005787,0.011467,0.021841,0.002201,-0.001478,0.004168,0.883428,0.0001,0.0359,in_range,ev_snapshot_WP0033_20250131
2025-01-31,WP0034,现金优选封闭式样例034,持有期增强,封闭式,私银,R2,270天,270,2022-03-04,1064,0.9282,0.0,0.0,1.049442,-14.93,0.056541,0.000754,-0.006424,0.022182,0.052081,-0.003048,-0.022754,0.046397,0.787577,0.028,0.052,above_upper,ev_snapshot_WP0034_20250131
2025-01-31,WP0035,现金优选最短持有期型样例035,全球配置,最短持有期型,对公,R3,360天,360,2022-12-30,763,4.2161,0.0,0.0,1.05687,4.48,0.063229,0.009978,0.043096,0.030805,0.058227,0.023602,-0.019486,0.037304,1.158833,0.0264,0.0456,above_upper,ev_snapshot_WP0035_20250131
2025-01-31,WP0036,封闭精选日开型样例036,稳健添利,日开型,直销,R2,1年封闭,365,2022-04-22,1015,10.4966,0.0,0.0,1.008056,-0.86,0.011796,-0.000495,0.003653,0.006821,0.010883,0.00024,-0.001946,0.004718,-1.739066,0.0047,0.0393,in_range,ev_snapshot_WP0036_20250131
2025-01-31,WP0037,多元配置纯固收样例037,全球配置,纯固收,百信,R2,日开,1,2023-04-07,665,7.2796,0.0,0.0,1.025603,9.76,0.022282,0.005994,0.0018,-0.00264,0.02055,0.014611,-0.023673,0.020654,0.110476,0.0183,0.0437,in_range,ev_snapshot_WP0037_20250131
2025-01-31,WP0038,持有期增强固收增强样例038,封闭精选,固收增强,交行,R2,7天,7,2023-06-02,609,17.3789,0.0,0.0,0.977853,-21.09,-0.022628,-0.020379,-0.049633,-0.025977,-0.020906,-0.031441,-0.049633,0.046435,-0.918011,0.0344,0.0496,below_lower,ev_snapshot_WP0038_20250131
2025-01-31,WP0039,多元配置多资产样例039,全球配置,多资产,厦门银行,R3,14天,14,2023-03-17,686,7.0254,0.0,0.0,1.010007,-5.51,0.010871,0.024275,0.003353,-0.014814,0.01003,0.022993,-0.072579,0.071754,-0.127232,0.0392,0.0648,below_lower,ev_snapshot_WP0039_20250131
2025-01-31,WP0040,现金优选混合类样例040,封闭精选,混合类,邮惠万家,R4,21天,21,2024-03-29,308,14.2495,0.0,0.0,1.0264,27.59,0.02678,0.018968,0.05944,0.036799,0.024695,0.055326,-0.096398,0.087263,0.077698,0.0398,0.0702,below_lower,ev_snapshot_WP0040_20250131
2025-01-31,WP0041,封闭精选QDII样例041,现金优选,QDII,个金,R4,30天,30,2024-03-08,329,13.4288,0.0,0.0,0.940173,-46.17,-0.064133,-0.049264,-0.043633,-0.016669,-0.059349,-0.092874,-0.147174,0.167814,-0.501345,0.0446,0.0714,below_lower,ev_snapshot_WP0041_20250131
2025-01-31,WP0042,持有期增强现金管理样例042,现金优选,现金管理,私银,R1,60天,60,2022-04-29,1008,29.4899,0.0,0.0,1.006717,0.55,0.007213,0.001168,0.000229,0.003217,0.006657,0.000377,-0.001565,0.003366,-3.798826,0.0093,0.0267,below_lower,ev_snapshot_WP0042_20250131
2025-01-31,WP0043,稳健添利封闭式样例043,多元配置,封闭式,对公,R4,90天,90,2022-03-11,1057,4.3214,0.0,0.0,1.065101,-2.38,0.067368,-0.000531,0.032081,0.055456,0.062029,0.006309,-0.026533,0.049372,0.959402,0.0234,0.0566,above_upper,ev_snapshot_WP0043_20250131
2025-01-31,WP0044,持有期增强最短持有期型样例044,稳健添利,最短持有期型,直销,R3,120天,120,2023-07-07,574,21.7914,0.0,0.0,1.024847,7.6,0.029151,0.015771,0.024433,0.025291,0.026879,0.012435,-0.026734,0.027768,0.329573,0.0234,0.0486,in_range,ev_snapshot_WP0044_20250131
2025-01-31,WP0045,持有期增强日开型样例045,现金优选,日开型,百信,R2,180天,180,2022-07-22,924,19.935,0.0,0.0,1.012409,2.67,0.014165,-0.000113,0.004652,0.003284,0.013069,9.3e-05,-0.004817,0.008821,-0.661479,0.0139,0.0301,in_range,ev_snapshot_WP0045_20250131
2025-01-31,WP0046,全球配置纯固收样例046,悦享固收,纯固收,交行,R2,270天,270,2022-12-02,791,24.0884,0.0,0.0,1.040866,4.83,0.047176,0.006274,0.011988,0.034208,0.043469,0.01637,-0.010785,0.01932,1.406656,0.0219,0.0401,above_upper,ev_snapshot_WP0046_20250131
2025-01-31,WP0047,持有期增强固收增强样例047,多元配置,固收增强,厦门银行,R3,360天,360,2023-03-17,686,8.8859,0.0,0.0,0.943112,-4.4,-0.060035,-0.008777,-0.012999,-0.033789,-0.055548,-0.011696,-0.070357,0.055976,-1.429812,0.0307,0.0533,below_lower,ev_snapshot_WP0047_20250131
2025-01-31,WP0048,全球配置多资产样例048,全球配置,多资产,邮惠万家,R4,1年封闭,365,2023-02-24,707,15.9388,0.0,0.0,1.031228,-10.3,0.037024,0.0033,0.024129,-0.003649,0.034128,-0.004617,-0.066505,0.108264,0.157242,0.0406,0.0634,below_lower,ev_snapshot_WP0048_20250131
2025-01-31,WP0049,多元配置混合类样例049,悦享固收,混合类,个金,R3,日开,1,2023-04-14,658,14.6213,0.0,0.0,0.989363,-23.7,-0.012573,-0.010332,-0.013147,-0.03402,-0.011612,-0.018113,-0.139261,0.111671,-0.291689,0.0418,0.0682,below_lower,ev_snapshot_WP0049_20250131
2025-01-31,WP0050,现金优选QDII样例050,封闭精选,QDII,私银,R5,7天,7,2022-09-02,882,21.8278,0.0,0.0,1.033107,6.97,0.032901,0.037455,-0.009182,-0.005778,0.030332,0.066333,-0.147605,0.127043,0.101549,0.048,0.068,below_lower,ev_snapshot_WP0050_20250131
2025-01-31,WP0051,多元配置现金管理样例051,多元配置,现金管理,对公,R1,14天,14,2023-01-27,735,24.7204,0.0,0.0,1.028028,3.75,0.02977,0.003879,0.006066,0.011771,0.027449,0.004129,-0.001159,0.00486,2.010325,0.0006,0.0354,in_range,ev_snapshot_WP0051_20250131
2025-01-31,WP0052,封闭精选封闭式样例052,全球配置,封闭式,直销,R4,21天,21,2024-04-05,301,5.8792,0.0,0.0,0.945042,9.87,-0.055783,0.012972,-0.037349,-0.068509,-0.051604,-0.011398,-0.096196,0.054843,-1.381799,0.0271,0.0529,below_lower,ev_snapshot_WP0052_20250131
2025-01-31,WP0053,多元配置最短持有期型样例053,持有期增强,最短持有期型,百信,R3,30天,30,2022-08-05,910,11.9565,0.0,0.0,0.975892,4.42,-0.027112,0.002955,-0.008143,-0.001703,-0.025053,0.003206,-0.039515,0.028243,-1.668106,0.0271,0.0449,below_lower,ev_snapshot_WP0053_20250131
2025-01-31,WP0054,多元配置日开型样例054,现金优选,日开型,交行,R1,60天,60,2023-03-17,686,14.1851,0.0,0.0,1.035972,-2.61,0.039907,0.001111,0.005742,0.016596,0.036782,0.00413,-0.001307,0.006949,2.864656,0.006,0.038,above_upper,ev_snapshot_WP0054_20250131
2025-01-31,WP0055,稳健添利纯固收样例055,稳健添利,纯固收,厦门银行,R2,90天,90,2023-06-23,588,31.4716,0.0,0.0,1.033501,-4.37,0.041114,-0.0045,-0.00091,0.000289,0.037892,-0.004351,-0.008325,0.022117,0.954653,0.0204,0.0416,in_range,ev_snapshot_WP0055_20250131
2025-01-31,WP0056,稳健添利固收增强样例056,现金优选,固收增强,邮惠万家,R2,120天,120,2022-07-08,938,20.3158,0.0,0.0,1.054132,4.3,0.05539,-0.001139,0.014168,0.023013,0.051022,0.014438,-0.014228,0.031115,1.137363,0.025,0.059,in_range,ev_snapshot_WP0056_20250131
2025-01-31,WP0057,现金优选多资产样例057,稳健添利,多资产,个金,R4,180天,180,2022-09-30,854,13.5678,0.0,0.0,1.062277,18.04,0.07141,0.008171,-0.000264,0.010816,0.065741,-0.0095,-0.040008,0.06376,0.80631,0.0402,0.0638,above_upper,ev_snapshot_WP0057_20250131
2025-01-31,WP0058,持有期增强混合类样例058,悦享固收,混合类,私银,R3,270天,270,2022-06-03,973,20.1401,0.0,0.0,0.90791,-25.54,-0.103016,-0.083249,-0.105998,-0.144849,-0.095483,-0.089029,-0.147962,0.095654,-1.286048,0.041,0.069,below_lower,ev_snapshot_WP0058_20250131
2025-01-31,WP0059,悦享固收QDII样例059,稳健添利,QDII,对公,R3,360天,360,2022-06-24,952,19.2986,0.0,0.0,0.808698,13.93,-0.203873,0.073206,0.065306,-0.001686,-0.189787,0.105803,-0.27019,0.17632,-1.269698,0.0517,0.0643,below_lower,ev_snapshot_WP0059_20250131
2025-01-31,WP0060,全球配置现金管理样例060,全球配置,现金管理,直销,R1,1年封闭,365,2023-08-18,532,30.7434,0.0,0.0,1.015549,0.86,0.022066,0.0012,0.003212,0.008607,0.020352,0.002703,-0.000611,0.003,0.688855,0.0116,0.0244,in_range,ev_snapshot_WP0060_20250131
2025-01-31,WP0061,现金优选封闭式样例061,现金优选,封闭式,百信,R2,日开,1,2023-02-17,714,7.5732,0.0,0.0,1.111687,15.88,0.121229,0.004979,0.003975,0.050622,0.111404,0.014709,-0.020895,0.051081,1.981748,0.0314,0.0486,above_upper,ev_snapshot_WP0061_20250131
2025-01-31,WP0062,全球配置最短持有期型样例062,稳健添利,最短持有期型,交行,R2,7天,7,2022-11-04,819,13.8342,0.0,0.0,1.011341,-22.79,0.009814,-0.001934,0.022907,0.030936,0.009055,0.004024,-0.027673,0.027163,-0.375005,0.0271,0.0449,below_lower,ev_snapshot_WP0062_20250131
2025-01-31,WP0063,多元配置日开型样例063,现金优选,日开型,厦门银行,R1,14天,14,2023-09-08,511,11.1331,0.0,0.0,1.026068,-1.16,0.02385,-0.002463,0.003969,0.008695,0.021995,9.4e-05,-0.003126,0.007697,0.500173,0.0087,0.0353,in_range,ev_snapshot_WP0063_20250131
2025-01-31,WP0064,封闭精选纯固收样例064,稳健添利,纯固收,邮惠万家,R2,21天,21,2022-02-11,1085,13.51,0.0,0.0,1.00033,-4.83,-0.002151,-0.005557,-0.019469,-0.01923,-0.001985,-0.004789,-0.024356,0.026209,-0.845148,0.0168,0.0452,below_lower,ev_snapshot_WP0064_20250131
2025-01-31,WP0065,稳健添利固收增强样例065,持有期增强,固收增强,个金,R3,30天,30,2022-05-06,1001,6.5149,0.0,0.0,1.028869,17.5,0.033131,0.019894,0.009495,0.013311,0.030544,0.021236,-0.035302,0.046211,0.284143,0.036,0.048,below_lower,ev_snapshot_WP0065_20250131
2025-01-31,WP0066,悦享固收多资产样例066,悦享固收,多资产,私银,R3,60天,60,2023-08-25,525,16.6332,0.0,0.0,1.05815,8.23,0.062237,0.021053,0.025439,-0.025883,0.057315,0.002351,-0.0762,0.073746,0.57273,0.0346,0.0694,in_range,ev_snapshot_WP0066_20250131
2025-01-31,WP0067,悦享固收混合类样例067,多元配置,混合类,对公,R4,90天,90,2022-03-11,1057,9.1092,0.0,0.0,1.177795,-34.79,0.198458,0.00778,-0.006971,0.037736,0.181884,-0.028438,-0.047753,0.115444,1.545847,0.0463,0.0637,above_upper,ev_snapshot_WP0067_20250131
2025-01-31,WP0068,悦享固收QDII样例068,持有期增强,QDII,直销,R5,120天,120,2023-08-25,525,2.5095,0.0,0.0,0.850425,-18.74,-0.16392,0.000246,-0.064532,-0.055394,-0.152327,0.007725,-0.182278,0.150122,-1.225136,0.0435,0.0725,below_lower,ev_snapshot_WP0068_20250131
2025-01-31,WP0069,现金优选现金管理样例069,稳健添利,现金管理,百信,R1,180天,180,2022-04-08,1029,20.776,0.0,0.0,1.011845,2.38,0.014403,0.004129,0.003263,0.006651,0.013288,0.003753,-0.002649,0.006178,-0.905953,0.0071,0.0289,in_range,ev_snapshot_WP0069_20250131
2025-01-31,WP0070,悦享固收封闭式样例070,持有期增强,封闭式,交行,R2,270天,270,2023-02-24,707,6.3877,0.0,0.0,1.036354,-7.28,0.037235,-0.003905,-0.009483,-0.017485,0.034323,-0.004477,-0.01901,0.038211,0.451062,0.0268,0.0532,in_range,ev_snapshot_WP0070_20250131
2025-01-31,WP0071,封闭精选最短持有期型样例071,悦享固收,最短持有期型,厦门银行,R3,360天,360,2022-04-08,1029,12.9841,0.0,0.0,1.055426,15.97,0.056611,0.012126,0.035734,0.041888,0.052144,0.02229,-0.008081,0.025965,1.409996,0.019,0.053,above_upper,ev_snapshot_WP0071_20250131
2025-01-31,WP0072,悦享固收日开型样例072,多元配置,日开型,邮惠万家,R1,1年封闭,365,2022-08-12,903,12.5659,0.0,0.0,1.025862,3.3,0.026643,0.004302,0.00593,0.013541,0.024569,0.00445,-0.002689,0.008511,0.780594,0.0053,0.0387,in_range,ev_snapshot_WP0072_20250131
2025-01-31,WP0073,悦享固收纯固收样例073,现金优选,纯固收,个金,R2,日开,1,2023-11-24,434,20.5475,0.0,0.0,1.038587,0.3,0.036367,-0.004397,-0.000525,0.016759,0.033523,-0.00154,-0.01125,0.021813,0.75031,0.0159,0.0461,in_range,ev_snapshot_WP0073_20250131
2025-01-31,WP0074,全球配置固收增强样例074,持有期增强,固收增强,私银,R2,7天,7,2022-04-15,1022,18.9525,0.0,0.0,0.987736,-3.26,-0.015616,0.001731,0.017263,-0.027775,-0.014423,0.005762,-0.063193,0.039206,-0.90844,0.0259,0.0581,below_lower,ev_snapshot_WP0074_20250131
2025-01-31,WP0075,封闭精选多资产样例075,多元配置,多资产,对公,R3,14天,14,2023-11-03,455,5.4605,0.0,0.0,1.13226,8.87,0.143273,0.014576,0.045257,0.084869,0.131558,0.015272,-0.027056,0.061006,2.020676,0.0457,0.0583,above_upper,ev_snapshot_WP0075_20250131
2025-01-31,WP0076,持有期增强混合类样例076,持有期增强,混合类,直销,R3,21天,21,2023-01-06,756,16.6172,0.0,0.0,1.230181,10.61,0.252452,0.001825,0.029279,0.114382,0.230952,0.021004,-0.045253,0.116143,2.001424,0.0433,0.0667,above_upper,ev_snapshot_WP0076_20250131
2025-01-31,WP0077,封闭精选QDII样例077,封闭精选,QDII,百信,R3,30天,30,2023-07-07,574,7.8288,0.0,0.0,1.186598,-2.89,0.202093,-0.033465,-0.004928,0.182021,0.185192,0.001689,-0.108162,0.164739,1.105342,0.049,0.067,above_upper,ev_snapshot_WP0077_20250131
2025-01-31,WP0078,稳健添利现金管理样例078,悦享固收,现金管理,交行,R1,60天,60,2023-04-21,651,5.787,0.0,0.0,1.030886,-0.4,0.02959,0.001413,0.005271,0.013015,0.027283,0.002824,-0.000363,0.003414,2.809358,0.0049,0.0311,in_range,ev_snapshot_WP0078_20250131
2025-01-31,WP0079,悦享固收封闭式样例079,持有期增强,封闭式,厦门银行,R3,90天,90,2022-09-16,868,18.7053,0.0,0.0,0.938814,7.42,-0.069812,-0.007262,0.005704,-0.014244,-0.06462,0.000852,-0.092569,0.060024,-1.496273,0.0239,0.0561,below_lower,ev_snapshot_WP0079_20250131
2025-01-31,WP0080,全球配置最短持有期型样例080,现金优选,最短持有期型,邮惠万家,R3,120天,120,2022-12-30,763,13.754,0.0,0.0,1.031691,-0.12,0.031821,-0.00046,-0.006715,0.007103,0.029338,-0.009702,-0.01187,0.026271,0.44998,0.0193,0.0527,in_range,ev_snapshot_WP0080_20250131
2025-01-31,WP0081,封闭精选日开型样例081,悦享固收,日开型,个金,R2,180天,180,2022-07-29,917,16.5793,0.0,0.0,1.02207,-1.6,0.024693,-0.000812,0.005475,0.011115,0.022772,0.00443,-0.001904,0.007046,0.665981,0.0136,0.0304,in_range,ev_snapshot_WP0081_20250131
2025-01-31,WP0082,封闭精选纯固收样例082,悦享固收,纯固收,私银,R2,270天,270,2023-12-01,427,1.2573,0.0,0.0,0.983906,1.49,-0.016992,0.010378,0.005446,0.002673,-0.015695,0.006851,-0.03152,0.018877,-1.959664,0.018,0.044,below_lower,ev_snapshot_WP0082_20250131
2025-01-31,WP0083,现金优选固收增强样例083,封闭精选,固收增强,对公,R3,360天,360,2022-04-15,1022,18.4674,0.0,0.0,1.094232,12.84,0.097068,0.008512,0.020056,0.043793,0.089278,0.011621,-0.020155,0.041748,1.846044,0.0335,0.0505,above_upper,ev_snapshot_WP0083_20250131
2025-01-31,WP0084,全球配置多资产样例084,全球配置,多资产,直销,R3,1年封闭,365,2023-06-23,588,15.8421,0.0,0.0,1.008423,-10.15,0.003704,0.019898,0.006578,0.002304,0.003419,0.032182,-0.066042,0.055779,-0.292148,0.0393,0.0647,below_lower,ev_snapshot_WP0084_20250131
2025-01-31,WP0085,悦享固收混合类样例085,悦享固收,混合类,百信,R4,日开,1,2024-03-29,308,9.2549,0.0,0.0,0.927502,-20.96,-0.082125,0.025153,0.021634,-0.027529,-0.076054,0.05186,-0.125316,0.074819,-1.364959,0.0457,0.0643,below_lower,ev_snapshot_WP0085_20250131
2025-01-31,WP0086,多元配置QDII样例086,多元配置,QDII,交行,R3,7天,7,2023-08-18,532,9.7326,0.0,0.0,1.01128,-4.35,0.01542,0.031498,0.071863,-0.016666,0.014225,0.005894,-0.099683,0.107471,-0.042618,0.0513,0.0647,below_lower,ev_snapshot_WP0086_20250131
